customerID,tenure,MonthlyCharges,TotalCharges,tenure_group,monthly_charge_group,gender_Male,SeniorCitizen_1,Partner_True,Dependents_True,PhoneService_True,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_True,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_True
7590-VHVEG,0.0,0.11542288557213931,0.001275098084468036,Baru,Rendah,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
5575-GNVDE,0.46478873239436624,0.3850746268656716,0.21586660512347106,Menengah,Sedang,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
3668-QPYBK,0.014084507042253521,0.35422885572139307,0.010310408492960998,Baru,Sedang,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
7795-CFOCW,0.619718309859155,0.23930348258706463,0.21024117239787676,Menengah,Sedang,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
9237-HQITU,0.014084507042253521,0.5218905472636816,0.015330025386568198,Baru,Sedang,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
9305-CDSKC,0.09859154929577466,0.8099502487562189,0.09251096238172168,Baru,Tinggi,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True
1452-KIOVK,0.295774647887324,0.7049751243781094,0.22277867528271408,Menengah,Tinggi,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
6713-OKOMC,0.1267605633802817,0.11442786069651739,0.032667897530579276,Baru,Rendah,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7892-POOKP,0.3802816901408451,0.8611940298507462,0.3493249480729287,Menengah,Tinggi,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True
6388-TABGU,0.8591549295774649,0.3771144278606965,0.4003173321024694,Lama,Sedang,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9763-GRSKD,0.16901408450704225,0.3154228855721393,0.06561850911608587,Menengah,Sedang,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
7469-LKBCI,0.2112676056338028,0.006965174129353213,0.035541195476575124,Menengah,Rendah,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False
8091-TTVAX,0.8028169014084507,0.8169154228855721,0.6533925686591276,Lama,Tinggi,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False
0280-XJGEX,0.676056338028169,0.8502487562189055,0.578986845141934,Lama,Tinggi,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
5129-JLPIS,0.33802816901408456,0.8681592039800995,0.30778329102238633,Menengah,Tinggi,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
3655-SNQYZ,0.9577464788732395,0.945273631840796,0.9088795291945534,Lama,Tinggi,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
8191-XWSZG,0.7183098591549296,0.023880597014925342,0.11587237479806141,Lama,Rendah,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
9959-WOFKT,0.9859154929577465,0.8800995024875623,0.8496942072467113,Lama,Tinggi,True,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
4190-MFLUW,0.1267605633802817,0.36766169154228856,0.05879875375028849,Baru,Sedang,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
4183-MYFRB,0.28169014084507044,0.7144278606965173,0.2127971382414032,Menengah,Tinggi,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
8779-QRDMV,0.0,0.21293532338308457,0.0024059543041772442,Baru,Sedang,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True
1680-VDCWW,0.15492957746478872,0.015422885572139305,0.02116893607200554,Baru,Rendah,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1066-JKSGK,0.0,0.018905472636815884,0.00015578121393953342,Baru,Rendah,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True
3638-WEABW,0.8028169014084507,0.4144278606965174,0.4022963304869605,Lama,Sedang,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False
6322-HRPFA,0.676056338028169,0.4114427860696518,0.34058389106854375,Lama,Sedang,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
6865-JZNKO,0.4084507042253521,0.3686567164179104,0.17445188091391645,Menengah,Sedang,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6467-CHFZW,0.647887323943662,0.8069651741293532,0.545851603969536,Menengah,Tinggi,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True
8665-UTDHZ,0.0,0.11890547263681589,0.0013154858066005077,Baru,Rendah,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
5248-YGIJN,1.0,0.7164179104477612,0.7328236787445188,Lama,Tinggi,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False
8773-HHUOZ,0.22535211267605634,0.4621890547263682,0.12396722824832679,Menengah,Sedang,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True
3841-NFECX,0.9859154929577465,0.7771144278606964,0.778692591737826,Lama,Tinggi,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False
4929-XIHVW,0.014084507042253521,0.7686567164179104,0.01879183014078006,Baru,Tinggi,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False
6827-IEAUQ,0.36619718309859156,0.47661691542288565,0.21412993307177478,Menengah,Sedang,False,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
7310-EGVHZ,0.0,0.019402985074626844,0.0001615508885298867,Baru,Rendah,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False
3413-BMNZE,0.0,0.26865671641791045,0.003052157858296792,Baru,Sedang,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6234-RAAPL,1.0,0.8124378109452737,0.8346295868912993,Lama,Tinggi,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
6047-YHPVI,0.056338028169014086,0.5119402985074627,0.034398799907685206,Baru,Sedang,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
6572-ADKRS,0.6338028169014085,0.5626865671641791,0.40728132933302563,Menengah,Sedang,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
5380-WJKOV,0.46478873239436624,0.8766169154228854,0.4073909531502423,Menengah,Tinggi,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True
8168-UQWWF,0.14084507042253522,0.7920398009950248,0.12538656819755367,Baru,Tinggi,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
8865-TNMNX,0.1267605633802817,0.3114427860696517,0.05272328640664667,Baru,Sedang,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
9489-DEDVP,0.971830985915493,0.5069651741293533,0.5600680821601662,Lama,Sedang,False,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False
9867-JCZSP,0.22535211267605634,0.02487562189054726,0.04609393030233095,Menengah,Rendah,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
4671-VJLCL,0.8732394366197184,0.6129353233830845,0.5588102930994692,Lama,Sedang,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False
4080-IIARD,0.16901408450704225,0.5766169154228856,0.11108354488806832,Menengah,Sedang,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
3714-NTNFO,0.676056338028169,0.6592039800995024,0.44863835679667663,Lama,Tinggi,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
5948-UJZLF,0.014084507042253521,0.30845771144278605,0.009023771059312256,Baru,Sedang,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7760-OYPDY,0.014084507042253521,0.6208955223880598,0.014464574198015234,Baru,Tinggi,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True
7639-LIAYI,0.7183098591549296,0.6119402985074627,0.4845372720978537,Lama,Sedang,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False
2954-PIBKO,0.9577464788732395,0.4567164179104478,0.4887260558504501,Lama,Sedang,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False
8012-SOUDQ,0.5915492957746479,0.7164179104477612,0.4407973690283868,Menengah,Tinggi,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
9420-LOJKX,0.19718309859154928,0.8044776119402984,0.1624278790676206,Menengah,Tinggi,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True
6575-SUVOI,0.33802816901408456,0.5099502487562189,0.2000750057696746,Menengah,Sedang,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False
7495-OOKFY,0.09859154929577466,0.6208955223880598,0.07090930071543965,Baru,Tinggi,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
4667-QONEA,0.8309859154929577,0.56318407960199,0.5120643895684284,Lama,Sedang,False,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,False
1658-BYGOY,0.23943661971830985,0.7681592039800995,0.20006346642049389,Menengah,Tinggi,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True
8769-KKTPH,0.8732394366197184,0.8099502487562189,0.7261020078467574,Lama,Tinggi,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
5067-XJQFU,0.9154929577464789,0.8975124378109453,0.8143953381029311,Lama,Tinggi,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
3957-SQXML,0.46478873239436624,0.06666666666666665,0.10102700207708286,Menengah,Rendah,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False
5954-BDFSG,1.0,0.8880597014925372,0.9040964689591507,Lama,Tinggi,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False
0434-CSFON,0.647887323943662,0.818407960199005,0.5409993076390492,Menengah,Tinggi,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
1215-FIGMP,0.8309859154929577,0.7129353233830846,0.6268059081467805,Lama,Tinggi,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0526-SXDJP,1.0,0.2373134328358209,0.3396261250865451,Lama,Sedang,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
